Name,Property,Amplitude Dashboard,Amplitude Dashboard (1),Analysis Date,Bayes Outcome Report,Config Code,Don't Reshuffle 5%,Early Stopping Criteria,Exp Off: date/build,Experiment Type,Final Step,Hypothesis,Hypothesis Correct?,NHST Outcome Report,Overlappers,Owner,Platform,Power Analysis,Related to New Users Work (Property),Related to Onboarders Work (Experiment Card),Related to Trial2020 (Property),Run Dates,Screenshots,Stage,Stakeholders,Test Dates,Treatment Description,Version Number,uuid
Android Full SG Long Reactivation,Yes,https://analytics.amplitude.com/loseit/dashboard/tsmm823,NA,"February 25, 2022",Experiment%201f19a/android-full-sg-long-reac-bayes.pdf,"AndFullSurveyReact(7701.kz2shebs)-treatment
AndFullSurveyReact(7701.kz2shebs)-_default",No,"STANDARD
-10% in day 2 retention, -10% in bookings, or -10% in % of users on premium (trial or not) within 72h of onboarding. 

+15% in day 2 retention, + 15% in bookings, or +15% in % of users on premium (trial or not) within 72h of onboarding.",NA,Reactivation,Move over to treatment,Increased bookings in the treatment,Yes,NA,NA,"Seung Kim, Nadja Arifovic",Android,NA,NA,NA,NA,"February 3, 2022 → February 17, 2022","Experiment%201f19a/Screenshot_20220118-144300_Lose_It!.jpg, Experiment%201f19a/Screenshot_20220118-144319_Lose_It!.jpg, Experiment%201f19a/Screenshot_20220118-144339_Lose_It!.jpg, Experiment%201f19a/Screenshot_20220118-144346_Lose_It!.jpg, Experiment%201f19a/Screenshot_20220118-144400_Lose_It!.jpg, Experiment%201f19a/Screenshot_20220118-161916.png, Experiment%201f19a/Screenshot_20220118-144504_Lose_It!.jpg, Experiment%201f19a/Screenshot_20220118-161920.png",Complete 2022,"Danielle Goryl, Frank Egan","January 27, 2022 → January 31, 2022","Treatment: full SG flow for reactivation onboarding, including some onboarding-style questions
Control: Android Long Reactivation Take 2",14.1.100,b830fd27-6e62-4db1-8fa9-375b19aa9ff6
Boost Trial in Onboarding,No,https://analytics.amplitude.com/loseit/dashboard/dwu0mrc,NA,"March 9, 2022",Experiment%201f19a/boost-report-reactivated-users.html,"iOSOnbBoostTrial(7682.kybql6w0)-_default
iOSOnbBoostTrial(7682.kybql6w0)-boosttrial",No,Under what circumstances would the experiment be ended early?,NA,Onboarding,Experiment turned off.,"Specific users will convert on Lose It! Boost at a higher rate than others 

*Note that this experiment is not directly to see if the treatment or control wins but rather to figure out who we should offer Lose It! Boost to from a finacial persepctive",NA,Experiment%201f19a/boost-report-new-users_(1).html,NA,Danielle Goryl,iOS,NA,NA,NA,NA,"January 3, 2022 → January 30, 2022",Experiment%201f19a/Untitled.png,Complete 2022,"Sarah Molhan, Taylor Smyrnos","December 28, 2021 → January 2, 2022",Offer users a Lose It! Boost trial for $59.99/year instead of Lose It! Premium for $39.99/year,Min version # treatment is available in — 11.5.800,daf428df-dbba-4a72-9df1-683d44104cd5
iOS Card-Based Tutorial,Yes,https://analytics.amplitude.com/loseit/dashboard/xmxlg2x,NA,"January 10, 2022",NA,"iOSSurveyLikeTutorial(7665.kxnj5gy0)-srvLk
iOSSurveyLikeTutorial(7665.kxnj5gy0)-_default",No,"STANDARD
-10% in day 2 retention, -10% in bookings, or -10% in % of users on premium (trial or not) within 72h of onboarding. 

+15% in day 2 retention, + 15% in bookings, or +15% in % of users on premium (trial or not) within 72h of onboarding.",NA,New User,This was turned off on January 2nd.,Better experience — should increase first food logged and # foods logged; potential impact on day 2 retention. No negative impact on bookings.,No,Experiment%201f19a/ios-card-based-tutorial-nhst.pdf,https://www.notion.so/iOS-Budget-Presets-Onboarding-39d3dec861294728aec85ad5e6f4c258,Seung Kim,iOS,NA,NA,NA,NA,"December 27, 2021 → January 2, 2022",NA,Complete 2022,Taylor Smyrnos,"December 16, 2021 → December 19, 2021","Treatment: New tutorial; excludes launcher & log header
Control: Old tutorial",13.6.500,184e40b8-dc65-4889-b2e5-6b02ba07001f
Android 4 Budget Presets Onboarding,Yes,https://analytics.amplitude.com/loseit/dashboard/0yrw906,NA,"January 26, 2022",Experiment%201f19a/android_budget_presets_bayes.pdf,"AndFlexOnb2(7652.kx4svxq0)-treatment
AndFlexOnb2(7652.kx4svxq0)-_default // AndroidExtremeWeekenderOnboarding",No,"-10% in day 2 retention, -10% in bookings, or -10% in % of users on premium (trial or not) within 72h of onboarding. 

+15% in day 2 retention, + 15% in bookings, or +15% in % of users on premium (trial or not) within 72h of onboarding.",13.6.600,Onboarding,In 13.6.600 we pulled the plug and reverted to Weekender.,"This should increase bookings by a small margin. We'll have more people configure the budget (bc the flex question was +7% for ""yes"". I think this should serve more people. 

No impact on engagemnet",No,Experiment%201f19a/android_budget_presets_nhst.pdf,NA,Sarah Molhan,Android,NA,NA,NA,NA,"December 15, 2021 → December 23, 2021",NA,Complete 2022,Danielle Goryl,"December 9, 2021 → December 15, 2021","Treatment: Offered both 3 weekender variations & Flexible budgets in onboarding. Uses more code and less bigImages
Control: no premium budget configuration",Testing: 13.6.400,eec13b07-29fa-4b24-9dd3-60a88251162a
Android Long Reactivation Take 2,Yes,https://analytics.amplitude.com/loseit/dashboard/t0d7sxu,NA,NA,Experiment%201f19a/android_long_reactivation_v2_fix_bayes.pdf,"AndLongReactOnb(7660.kxgk4nbs)-LongReactOnb
AndLongReactOnb(7660.kxgk4nbs)-_default",No,"-10% in day 2 retention, -10% in bookings, or -10% in % of users on premium (trial or not) within 72h of onboarding. 

+15% in day 2 retention, + 15% in bookings, or +15% in % of users on premium (trial or not) within 72h of onboarding.",Jan 1 2022 or a little before,Reactivation,Treatment became baseline by Jan 1 2022,Higher GBPP in the treatment,Yes,Experiment%201f19a/android_long_reactivation_v2_fix_nhst.pdf,NA,Sarah Molhan,Android,NA,NA,NA,NA,"December 13, 2021 → December 19, 2021","Experiment%201f19a/Screenshot_20211206-114637.png, Experiment%201f19a/Screenshot_20211206-114634.png, Experiment%201f19a/Screenshot_20211206-114631.png, Experiment%201f19a/Screenshot_20211206-114629.png, Experiment%201f19a/Screenshot_20211206-114626.png, Experiment%201f19a/Screenshot_20211206-114623.png, Experiment%201f19a/Screenshot_20211206-114620.png, Experiment%201f19a/Screenshot_20211206-114618.png, Experiment%201f19a/Screenshot_20211206-114614.png",Complete 2022,"Dave Gedarovich, Danielle Goryl","December 9, 2021 → December 12, 2021","Treatment: Add surveygurl steps in the middle of reactivation onboarding
Control: no surveygurl steps",13.6.400,06f9de05-07d9-4bc2-8322-0d3aa9a22e43
iOS Budget Presets Onboarding,Yes,https://analytics.amplitude.com/loseit/dashboard/o5gnxlp,NA,"December 20, 2021",Experiment%201f19a/ios_budget_onboarding_presets_bayes.pdf,"iOSOnbSurveyType(7645.kwus5i5c)-wkOrFlx
iOSOnbSurveyType(7645.kwus5i5c)-_default",No,"-10% in day 2 retention, -10% in bookings, or -10% in % of users on premium (trial or not) within 72h of onboarding. 

+15% in day 2 retention, + 15% in bookings, or +15% in % of users on premium (trial or not) within 72h of onboarding.",13.6.600 — weekender will be 100%,Onboarding,Everyone’s getting regular Weekender. That remains the baseline,"This should increase bookings by a small margin. We'll have more people configure the budget (bc the flex question was +7% for ""yes"". I think this should serve more people. 

No impact on engagemnet",No,Experiment%201f19a/ios_onboarding_budget_presets_nhst.pdf,NA,Sarah Molhan,iOS,NA,NA,NA,NA,"December 9, 2021 → December 16, 2021",NA,Complete 2021,Danielle Goryl,"December 3, 2021 → December 8, 2021","Treatment: Offered Weekender, Early Weekender, Focused Weekender, and flexible budgets in onboarding. Uses code and not bigImages

Control: Just offered Weekender in onboarding; uses bigImages",13.6.300,7932589d-9c05-4ef9-aebc-945711c28796
Android SG Day 1 Streak V2,Yes,https://analytics.amplitude.com/loseit/dashboard/sst24qp,NA,"December 21, 2021",Experiment%201f19a/android_one_day_streak_v2_bayes.pdf,"AndSurveyGurlMDC(7645.kwuweot4)-survey-mdc-2
AndSurveyGurlMDC(7645.kwuweot4)-_default",No,NA,12/21/21,"Engagement, New User",Dropping to 0% 12/21/2021,Increase in day 2 retention; on impact on bookings,No,Experiment%201f19a/android_one_day_streak_v2_nhst.pdf,NA,Sarah Molhan,Android,NA,NA,NA,NA,"December 6, 2021 → December 20, 2021",NA,Complete 2021,"Seung Kim, Danielle Goryl","December 3, 2021 → December 6, 2021","Treatment: Gets new survey after their first day complete
Control: gets no survey after their first day complete",13.6.300,71d53ca7-f444-4b4a-8caf-0df2ad137fae
iOS Budget Presets Reactivation Onboarding,Yes,https://analytics.amplitude.com/loseit/dashboard/jvkm86x,NA,"December 15, 2021",Experiment%201f19a/ios_reactivation_budget_preset_dec15_bayes.pdf,"iOSWeekenderInReacOnb(7645.kwusmabc)-iOSReactOnbWeek
iOSWeekenderInReacOnb(7645.kwusmabc)-_default",No,"-10% in day 2 retention, -10% in bookings, or -10% in % of users on premium (trial or not) within 72h of onboarding. 

+15% in day 2 retention, + 15% in bookings, or +15% in % of users on premium (trial or not) within 72h of onboarding.",12/16,Reactivation,Put this to 100% on 12/16,"This should increase bookings. We'll have more people configure the budget (bc the flex question was +7% for ""yes"". I think this should serve more people. 

No impact on engagemnet",Yes,Experiment%201f19a/ios_reactivation_budget_preset_dec15.pdf,NA,Sarah Molhan,iOS,NA,NA,NA,NA,"December 6, 2021 → December 14, 2021",NA,Complete 2021,Danielle Goryl,NA,"Treatment: Offered both 3 weekender variations & Flexible budgets in onboarding. Uses more code and less bigImages
Control: no premium budget configuration",13.6.302,fe5279c1-eeac-4792-928c-8d2ec05002fd
iOS SG Day 1 Streak V2,Yes,https://analytics.amplitude.com/loseit/dashboard/tvhkk57,NA,NA,Experiment%201f19a/ios_one_day_streak_v2_dec20_fix_bayes.pdf,"iOSDayCompleteSurveyV2(7645.kwuw4yi0)-survey-mdc-2
iOSDayCompleteSurveyV2(7645.kwuw4yi0)-_default",No,Under what circumstances would the experiment be ended early?,12/20/21,"Engagement, New User",Moved to 100% on Dec 20,Increase in day 2 retention; no impact on bookings,No,Experiment%201f19a/ios_one_day_streak_v2_dec20_fix_nhst.pdf,NA,Sarah Molhan,iOS,NA,NA,NA,NA,"December 5, 2021 → December 17, 2021",NA,Complete 2021,"Seung Kim, Danielle Goryl","December 3, 2021 → December 5, 2021","Treatment: Gets new survey after their first day complete
Control: Gets old survey after their first day complete",13.6.302,862daa41-c775-4a38-b340-f5b4d6c0d8fe
Black Friday IAM Creative Testing,No,"Use the ""Standard Experiment Template"" or ""Onboarding Experiment Template"" here: https://analytics.amplitude.com/loseit/template/gallery",NA,"November 28, 2021",NA,"""experiments"" value from https://loseit.com/m/configuration?format=complex",No,Under what circumstances would the experiment be ended early?,NA,"IAM, Premium",We moved forward with the running General sale themed creative for Cyber Monday IAMs. Devs used the creative kill switch to drop the Celebratory themed IAMs.,Celebratory Theme will perform better,NA,Experiment%201f19a/bfcm_iam_creative_test_bayes_no96_102.pdf,NA,Danielle Goryl,"Android, iOS",NA,NA,NA,NA,"November 26, 2021 → November 28, 2021","Experiment%201f19a/celeb_balloons.jpeg, Experiment%201f19a/celeb_confetti.jpeg, Experiment%201f19a/celeb_gift.jpeg, Experiment%201f19a/gen_ribbon.jpeg, Experiment%201f19a/gen_simple.png, Experiment%201f19a/gen_stripe.jpeg",Complete 2021,Erin Webster-Shaller,NA,Control will see celebratory theme of creative and treatment will receive more generic sale themed creative,Min version # treatment is available in — 11.5.800,0c4a5b0e-3ac8-4393-a72a-874718e16767
iOS Flexible Budget in Reactivation Onboarding,Yes,https://analytics.amplitude.com/loseit/dashboard/zeje225,NA,"December 8, 2021",Experiment%201f19a/ios_flexbudget_reactivation_onboarding_bayes.pdf,"iOSWeekenderInReacOnb(7632.kwcktntk)-iOSReactOnbWeek
iOSWeekenderInReacOnb(7632.kwcktntk)-_default",No,"-10% in day 2 retention, -10% in bookings, or -10% in % of users on premium (trial or not) within 72h of onboarding. 

+15% in day 2 retention, + 15% in bookings, or +15% in % of users on premium (trial or not) within 72h of onboarding.",Experiment changed to be budget presets with 13.6.300.,Reactivation,We are testing Budget Presets vs Nothing and will see if that's more substantial of a win than this was.,"Increase $ from trials
Increase in users on weekender",Yes,Experiment%201f19a/ios_flexbudget_reactivation_onboarding_nhst_(1).pdf,NA,Sarah Molhan,iOS,NA,NA,NA,NA,"November 23, 2021 → November 30, 2021",NA,Complete 2021,"Danielle Goryl, Patrick Rills","October 29, 2021 → October 31, 2021","Treatment: Reactivation Onboarding includes flexible budget configuration

Control: It does not.",13.6.200,798215c5-5e2e-4f02-b117-a53fbea11da4
BFCM Presale and Black Friday Email Discount Test,No,"Use the ""Standard Experiment Template"" or ""Onboarding Experiment Template"" here: https://analytics.amplitude.com/loseit/template/gallery",NA,"November 28, 2021",NA,"""experiments"" value from https://loseit.com/m/configuration?format=complex",No,Under what circumstances would the experiment be ended early?,NA,"Email, Premium","The 75% discount was a clear and statistically significant winner. We received twice as many orders, so it overcame the discount to do better in bookings per person overall. It’s important to note that this is also email and web only, so we benefit from the historically higher renewal rates and reduced fees on Stripe.",What do you expect to happen?,NA,Experiment%201f19a/bfcm_email_discount_test.pdf,NA,Danielle Goryl,"Email, Iterable",NA,NA,NA,NA,"November 22, 2021 → November 26, 2021","Experiment%201f19a/Screen_Shot_2021-12-01_at_2.00.40_PM.png, Experiment%201f19a/Screen_Shot_2021-12-01_at_2.01.19_PM.png, Experiment%201f19a/Screen_Shot_2021-12-01_at_2.01.33_PM.png",Complete 2021,Erin Webster-Shaller,NA,Control will receive 50% discount where Treatment groups will receive either a 60% or 75% discount,Min version # treatment is available in — 11.5.800,4d36e768-1707-46de-b292-27f9e42d2401
BFCM Presale Email Creative Test,No,"Use the ""Standard Experiment Template"" or ""Onboarding Experiment Template"" here: https://analytics.amplitude.com/loseit/template/gallery",NA,"November 24, 2021",NA,"""experiments"" value from https://loseit.com/m/configuration?format=complex",No,Under what circumstances would the experiment be ended early?,NA,"Email, Premium","The clock with the red background came out ahead, so we moved forward with that image for BF and CM in emails",What do you expect to happen?,NA,Experiment%201f19a/bfcm_presale_email_fix.pdf,NA,Danielle Goryl,Iterable,NA,NA,NA,NA,"November 22, 2021 → November 23, 2021","Experiment%201f19a/BFCM_clock_Email.gif, Experiment%201f19a/BFCM_clock-red2_Email.gif, Experiment%201f19a/BFCM_confetti_Email.gif",Complete 2021,Erin Webster-Shaller,NA,Control users will get previous year's winner and there are two treatment groups with new versions we are testing.,Min version # treatment is available in — 11.5.800,0c1671d6-9be2-4c3b-bde9-9031aa359f80
BFCM Presale IAM Creative Test,No,"Use the ""Standard Experiment Template"" or ""Onboarding Experiment Template"" here: https://analytics.amplitude.com/loseit/template/gallery",NA,"November 25, 2021",NA,"""experiments"" value from https://loseit.com/m/configuration?format=complex",No,Under what circumstances would the experiment be ended early?,NA,"IAM, Premium","These results were not significant, which is no unexpected with creative tests; they do give us an indication of trends. Treatment 2 (confetti) and Treatment 1 (red stripe) appeared to do better than control. Usually, we would run the next 3 variants within a given theme but we are continuing with all celeb_ and gen_ variants for Black Friday to try to get additional learnings",Control will win as it has continued to do well over the past couple of years.,NA,Experiment%201f19a/bfcm_presale_iam_creative_test.pdf,NA,Danielle Goryl,"Android, iOS",NA,NA,NA,NA,"November 21, 2021 → November 24, 2021","Experiment%201f19a/time_hourglassblack_(control).jpeg, Experiment%201f19a/gen_stripe_(treatment_1).jpeg, Experiment%201f19a/celeb_confetti_(treatment_2).jpeg",Complete 2021,Erin Webster-Shaller,"November 21, 2021 → November 24, 2021","Control will an Hourglass creative (last year's winner), Treatment 1 will see an image with a Red Banner, and Treatment 2 will see creative with confetti",Min version # treatment is available in — 11.5.800,0bf54828-cacb-4ba0-ba09-468052186906
Cautiously Murder iOS Feature Specific Purchase Pages,Yes,https://analytics.amplitude.com/loseit/dashboard/r6lhnk0,NA,"November 17, 2021",Experiment%201f19a/ios_murder_feature_specific_free_app_sessions.pdf,"iOSNoLeafV2(7619.kvtpinf4)-noLeafV2
iOSNoLeafV2(7619.kvtpinf4)-_default",No,"-10% in day 2 retention, -10% in bookings
+15% in day 2 retention, + 15% in bookings",11/18,Purchase Page,Moved to treatment 11/18,Increased 💰 from the treatment,Yes,Experiment%201f19a/ios_murder_feature_specific_page_nhst.pdf,NA,Sarah Molhan,iOS,NA,NA,NA,NA,"November 10, 2021 → November 16, 2021",NA,Complete 2021,"Danielle Goryl, Erin Webster-Shaller","November 8, 2021 → November 11, 2021","Treatment: Sees MPPP everywhere
Control: Sees feature-specific purchase pages when they click on certain features.",13.5.700,a153369f-684f-412c-b7b0-4655cc44afa7
